,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
97,7134 Ressaix,House,51000,3.0,,,,,,,,,,220.0,3.0, To restore,
98,6020 Dampremy,House,51000,2.0,,,,,,,,,,,2.0,,
99,7340 Colfontaine,House,52500,2.0,85.0,,0.0,,,,1.0,1300.0,85.0,1385.0,3.0, To renovate,
100,7080 Frameries,House,54000,,80.0,,0.0,,,,,,80.0,100.0,3.0, To restore,
101,6061 Montignies-sur-Sambre,House,54000,3.0,,,,,,,,,,170.0,3.0, To restore,
102,6040 Jumet,House,55000,4.0,202.0,Semi equipped,,,,,,,202.0,,3.0,,
103,5650 Yves-Gomeze,House,55000,3.0,127.0,Not installed,0.0,,,,,,127.0,,3.0, To renovate,
104,7340 Colfontaine,House,55000,2.0,56.0,,,,,,,,56.0,230.0,2.0,,
105,6183 Trazegnies,House,55000,3.0,,,,,,,,,,,,,
106,7321 Blaton,House,55000,2.0,,,,,,,,,,1380.0,2.0, To renovate,
107,5650 Yves-Gomeze,House,55000,3.0,,Installed,,,,,,,,101.0,2.0, To be done up,
108,7012 Jemappes,House,55000,2.0,,,,,,,,,,80.0,2.0,,
109,7600 Pruwelz,House,55000,3.0,122.0,Installed,0.0,,,,,,122.0,78.0,2.0,,
110,7340 PATURAGES,House,55000,2.0,,Not installed,0.0,,,,,,,190.0,,,
111,7340 WASMES,House,55000,2.0,,Not installed,0.0,,,,,,,350.0,,,
112,5660 Couvin,House,55000,3.0,60.0,,0.0,,,,,,60.0,,3.0,,
113,7340 Colfontaine,House,55000,3.0,,,,,,,,,,,,,
114,8870 Izegem,House,55000,3.0,125.0,,,,,,,,125.0,158.0,,,
115,7500 Tournai Ere,House,55000,1.0,42.0,Not installed,0.0,,,,,,42.0,173.0,3.0, To renovate,
116,6060 Gilly,House,55000,1.0,40.0,Installed,0.0,,,,,,40.0,,,,
117,7020 Nimy,House,55000,2.0,,,,,,,,,,,2.0, To renovate,
118,6060 Gilly,House,56000,2.0,85.0,Installed,0.0,,,,,,85.0,107.0,,,
119,4621 Flron,House,57000,4.0,114.0,Semi equipped,0.0,,,,,,114.0,260.0,2.0, To be done up,
120,6044 Roux,House,57000,1.0,80.0,Semi equipped,0.0,,,,1.0,61.0,80.0,,, To renovate,
121,7340 Colfontaine,House,58000,1.0,,Semi equipped,0.0,,,,,,,140.0,2.0, To renovate,
122,6220 Fleurus,House,58000,2.0,80.0,,0.0,,,,,,80.0,170.0,2.0, To renovate,
123,7340 WASMES,House,58000,2.0,,Not installed,0.0,,,,,,,192.0,,,
124,6820 Florenville,House,58000,2.0,,,,,,,,,,76.0,2.0,,
125,6560 Solre-sur-Sambre,House,58500,2.0,127.0,,,,,,,,127.0,80.0,3.0, To renovate,
126,4040 Herstal,House,59000,1.0,65.0,Semi equipped,0.0,,1.0,9.0,,,65.0,49.0,2.0,,
127,7370 Dour,House,59000,3.0,106.0,,0.0,,,,,,106.0,67.0,, To renovate,
128,6041 Gosselies,House,59000,1.0,54.0,Not installed,0.0,,,,,,54.0,,, To be done up,
129,7100 La Louviere,House,59000,2.0,92.0,Not installed,0.0,,,,,,92.0,65.0,2.0, To renovate,
130,6041 Gosselies,House,59000,2.0,80.0,Not installed,0.0,,,,1.0,20.0,80.0,,2.0, Just renovated,
131,6041 Gosselies,House,59000,3.0,,,,,,,,,,180.0,2.0,,
132,7500 ERE,House,59000,1.0,,Not installed,0.0,,,,,,,215.0,, To restore,
133,6030 Marchienne-au-Pont,House,59000,4.0,,,,,,,,,,,2.0, To renovate,
134,5680 GOCHENE,House,59000,4.0,222.0,Not installed,0.0,,,,,,222.0,250.0,3.0, To renovate,
135,6560 Erquelinnes,House,59000,4.0,106.0,Not installed,0.0,,,,,,106.0,89.0,2.0, To be done up,
136,7340 Colfontaine,House,59000,2.0,,Semi equipped,0.0,,,,,,,,3.0, To be done up,
137,7170 Manage,House,59000,1.0,60.0,,,,,,,,60.0,,3.0, To renovate,
138,6590 Momignies,House,59000,1.0,85.0,Installed,0.0,,,,,,85.0,,3.0,,
139,7012 FLNU,House,59000,1.0,,Not installed,0.0,,,,,,,184.0,,,
140,6044 Roux,House,59000,1.0,,,0.0,,,,,,,,4.0, To renovate,
141,6060 Charleroi Gilly,House,59900,2.0,83.0,Semi equipped,0.0,,,,,,83.0,67.0,2.0, To be done up,
142,6141 FontainelEvque Forchiesla-Marche,House,59900,1.0,51.0,Not installed,0.0,,,,1.0,179.0,51.0,,2.0, To renovate,
143,7370 Dour,House,60000,1.0,92.0,,0.0,,,,,,92.0,200.0,3.0, To renovate,
144,7080 La Bouverie,House,60000,2.0,141.0,,0.0,,,,,,141.0,150.0,2.0, To renovate,
145,7340 Wasmes,House,60000,2.0,164.0,,0.0,,,,,,164.0,170.0,3.0, To renovate,
146,7041 Givry,House,60000,4.0,173.0,,0.0,,,,,,173.0,310.0,2.0, To renovate,
147,4020 LIEGE Wandre,House,60000,2.0,76.0,,,,,,,,76.0,55.0,2.0, To renovate,
148,4000 Lige,House,60000,2.0,,,,,,,,,,60.0,2.0, To be done up,
149,4800 Verviers,House,60000,4.0,135.0,,,,,,,,135.0,92.0,2.0,,
150,5621 Hanzinelle,House,60000,2.0,,Installed,,,,,,,,,3.0, To be done up,
151,7350 Hainin,House,60000,2.0,80.0,,0.0,,,,,,80.0,350.0,3.0, To renovate,
152,8400 Oostende,House,60000,3.0,89.0,Installed,,,,,,,89.0,91.0,2.0,,
153,7370 ELOUGES,House,60000,3.0,130.0,Semi equipped,0.0,,,,,,130.0,90.0,2.0, To renovate,
154,4710 Lontzen,House,60000,2.0,,,,,,,,,,,, To renovate,
155,6791 Athus,House,60000,2.0,,,,,,,,,,199.0,2.0,,
156,7700 Mouscron,House,60000,2.0,,,,,,,,,,175.0,2.0,,
157,7340 Wasmes,House,60000,2.0,,,,,,,,,,,,,
158,6042 Lodelinsart,House,60000,1.0,77.0,,,,,,,,77.0,,3.0, To renovate,
159,7000 Mons,House,60000,1.0,,,,,,,,,,,,,
160,7012 Mons,House,60000,,,,,,,,1.0,40.0,,95.0,2.0,,
161,7033 Mons,House,60000,2.0,84.0,,,,,,,,84.0,,2.0, To be done up,
162,6001 Charleroi,House,60000,2.0,,,0.0,,,,1.0,93.0,,168.0,1.0,,
163,6061 Montignies-sur-Sambre,House,60000,2.0,,,,,,,,,,,,,
164,4800 Verviers,House,60000,3.0,130.0,,,,,,,,130.0,110.0,2.0, To renovate,
165,7141 Morlanwelz,House,60000,2.0,,Not installed,0.0,,,,1.0,1.0,,495.0,3.0, To renovate,
166,7970 Beloeil,House,60000,3.0,,Not installed,,,,,,,,405.0,2.0, To renovate,
167,7160 Chapelle-lez-Herlaimont,House,60000,2.0,,Not installed,0.0,,,,,,,430.0,3.0, To renovate,
168,7900 Leuze-En-Hainaut,House,60000,3.0,,Not installed,0.0,,,,1.0,60.0,,110.0,3.0, To restore,
169,6560 Erquelinnes,House,60000,2.0,,,,,,,,,,60.0,2.0, To renovate,
170,7140 Morlanwelz,House,60000,2.0,75.0,Semi equipped,,,1.0,10.0,,,75.0,140.0,2.0, To renovate,
171,7530 Gaurain-Ramecroix,House,60000,1.0,97.0,,,,,,,,97.0,,3.0, To renovate,
172,6590 Momignies,House,60000,4.0,,,,,,,,,,430.0,3.0, To renovate,
173,7380 Quivrain,House,60000,2.0,,,,,,,,,,109.0,2.0, To renovate,
174,7390 Quaregnon,House,60000,2.0,,Not installed,0.0,,,,,,,152.0,,,
175,6001 Marcinelle,House,60000,3.0,,,,,,,,,,1142.0,3.0, To renovate,
176,6590 Momignies,House,60000,2.0,,,,,,,,,,320.0,,,
177,7340 Colfontaine,House,60000,3.0,105.0,,,,,,,,105.0,220.0,2.0, To renovate,
178,7340 WASMES,House,60000,2.0,,Not installed,0.0,,,,,,,,,,
179,4470 Saint-Georges-sur-Meuse,House,60000,2.0,,,,,,,,,,,,,
180,7370 Dour,House,60000,,,,,,,,,,,580.0,2.0, To restore,
181,7012 Jemappes,House,60000,2.0,,,,,,,,,,,2.0,,
182,7301 Hornu,House,61000,2.0,,,,,,,,,,160.0,2.0, To renovate,
183,4030 Lige,House,62000,1.0,83.0,,0.0,,,,1.0,1.0,83.0,200.0,3.0, To renovate,
184,4020 Bressoux,House,62500,1.0,87.0,,,,,,,,87.0,,2.0, To be done up,
185,6110 Montigny-le-Tilleul,House,62500,3.0,,,,,,,,,,,,,
186,7000 Mons,House,62500,3.0,,,,,,,,,,248.0,2.0, To renovate,
187,7390 Quaregnon,House,63000,3.0,80.0,,0.0,,,,,,80.0,130.0,2.0, To renovate,
188,7340 WASMES,House,64000,2.0,,Not installed,0.0,,,,,,,170.0,,,
189,6670 Limerl,House,64500,5.0,214.0,,0.0,,,,,,214.0,,4.0, To renovate,
190,7170 LA HESTRE,House,64999,2.0,77.0,Semi equipped,0.0,,1.0,35.0,1.0,150.0,77.0,240.0,2.0, To be done up,
191,7370 Dour,House,65000,3.0,189.0,,0.0,,,,,,189.0,265.0,3.0, To renovate,
192,4684 Oupeye,House,65000,4.0,163.0,Installed,0.0,,1.0,18.0,1.0,4.0,163.0,20.0,, To renovate,
193,7080 La Bouverie,House,65000,2.0,100.0,,0.0,,,,,,100.0,140.0,2.0, To renovate,
194,7370 Elouges,House,65000,1.0,93.0,,0.0,,,,,,93.0,243.0,2.0, To renovate,
195,7390 Quaregnon,House,65000,1.0,99.0,,0.0,,,,,,99.0,273.0,2.0, To renovate,
196,4020 Bressoux,House,65000,2.0,103.0,,,,,,,,103.0,215.0,2.0, To be done up,
197,6040 Jumet,House,65000,2.0,95.0,Not installed,0.0,,,,,,95.0,184.0,2.0, To renovate,
198,7370 Elouges,House,65000,3.0,179.0,,0.0,,,,,,179.0,260.0,3.0, To renovate,
199,7370 Wihries,House,65000,2.0,167.0,,0.0,,,,,,167.0,320.0,2.0, To renovate,
200,7390 Quaregnon,House,65000,2.0,175.0,,0.0,,,,,,175.0,160.0,2.0, To renovate,
201,7370 WIHRIES,House,65000,1.0,68.0,,0.0,,,,,,68.0,351.0,, To renovate,
202,2170 Merksem,House,65000,1.0,93.0,,,,,,,,93.0,40.0,2.0, To renovate,
203,4032 LIEGE Chne,House,65000,2.0,88.0,,,,,,1.0,54.0,88.0,98.0,2.0, To renovate,
204,8953 Wijtschate,House,65000,3.0,,,,,,,,,,415.0,2.0,,
205,6111 Landelies,House,65000,2.0,133.0,,,,,,,,133.0,410.0,,,
206,2180 Ekeren,House,65000,2.0,,,,,,,,,,130.0,, To renovate,
207,4101 Seraing Jemeppesur-Meuse,House,65000,1.0,40.0,Not installed,0.0,,1.0,5.0,,,40.0,90.0,3.0, To restore,
208,6042 lodelinsart,House,65000,3.0,140.0,Not installed,0.0,,,,1.0,1.0,140.0,550.0,3.0, To renovate,
209,5100 Jambes,House,65000,2.0,,,,,,,,,,234.0,3.0,,
210,6042 Lodelinsart,House,65000,2.0,97.0,,,,,,,,97.0,,3.0,,
211,4031 ANGLEUR,House,65000,2.0,62.0,,0.0,,,,,,62.0,25.0,2.0, To restore,
212,5640 Mettet,House,65000,3.0,135.0,Not installed,0.0,,,,,,135.0,340.0,2.0,,
213,7390 Quaregnon,House,65000,2.0,,,,,,,,,,209.0,2.0, To renovate,
214,4170 Comblain-au-Pont,House,65000,2.0,85.0,,,,,,,,85.0,,2.0, To renovate,
215,6030 Marchienne-au-Pont,House,65000,2.0,,Semi equipped,,,,,,,,,2.0, Good,
216,6180 Courcelles,House,65000,3.0,90.0,,0.0,,,,,,90.0,,,,
217,7080 Frameries,House,65000,2.0,126.0,,,,,,1.0,81.0,126.0,140.0,2.0, To renovate,
218,9500 Geraardsbergen,House,65000,1.0,18.0,,0.0,,1.0,18.0,,,18.0,160.0,4.0,,
219,6820 Muno,House,65000,2.0,,,,,,,,,,130.0,2.0, To renovate,
220,7340 PATURAGES,House,65000,2.0,,Not installed,0.0,,,,,,,280.0,,,
221,7370 Dour,House,65000,3.0,,Not installed,0.0,,,,,,,,,,
222,6044 Roux,House,65000,1.0,90.0,,0.0,,,,,,90.0,160.0,, To renovate,
223,4257 Berloz,House,65000,1.0,,,,,,,,,,,,,
224,6840 Neufchteau,House,65000,,,Not installed,0.0,,,,,,,2155.0,,,
225,6060 Charleroi,House,65000,1.0,,,0.0,,,,,,,,2.0,,
226,6690 Vielsalm,House,65500,2.0,62.0,,,,,,,,62.0,184.0,2.0, To renovate,
227,7020 Nimy,House,67500,2.0,,,,,,,,,,,2.0, To renovate,
228,7950 Chivres,House,68000,3.0,127.0,Not installed,0.0,,,,,,127.0,240.0,, To renovate,
229,3620 Lanaken,House,68000,4.0,,Installed,,,,,,,,363.0,4.0,,
230,9500 Geraardsbergen,House,68000,1.0,,,0.0,,,,,,,30.0,2.0, To renovate,
231,7618 Rumes,House,68000,2.0,81.0,,,,,,,,81.0,171.0,3.0, To renovate,
232,7340 Colfontaine,House,68000,2.0,,Semi equipped,0.0,,,,,,,,2.0, To renovate,
233,6220 Fleurus,House,68000,1.0,40.0,,0.0,,,,,,40.0,,2.0, Good,
234,6250 AISEAU,House,69000,2.0,80.0,,0.0,,,,,,80.0,330.0,2.0,,
235,7110 La Louvire Strpy-Bracquegnies,House,69000,2.0,102.0,Not installed,,,,,,,102.0,122.0,2.0, To renovate,
236,6042 Charleroi Lodelinsart,House,69000,2.0,71.0,,0.0,,1.0,13.0,,,71.0,13.0,2.0, To renovate,
237,6061 Charleroi,House,69000,2.0,80.0,,,,,,,,80.0,,2.0, To be done up,
238,7140 Morlanwelz,House,69000,,75.0,,0.0,,,,,,75.0,,,,
239,4610 Beyne-Heusay,House,69000,2.0,,,,,,,,,,,,,
240,7500 Tournai,House,69000,2.0,70.0,,0.0,,,,,,70.0,80.0,, To renovate,
241,4800 Ensival,House,69000,5.0,182.0,Not installed,0.0,,1.0,9.0,,,182.0,,2.0, To renovate,
242,4100 Seraing,House,69000,2.0,90.0,,,,1.0,45.0,1.0,493.0,90.0,,2.0, To restore,
243,6041 Charleroi,House,69000,2.0,,Not installed,0.0,,,,,,,80.0,2.0, To renovate,
244,5670 OLLOY-SUR-VIROIN,House,69000,2.0,94.0,Installed,0.0,,,,,,94.0,,2.0, Good,
245,7170 LA HESTRE,House,69000,2.0,,,0.0,,,,,,,620.0,,,
246,6060 Gilly Charleroi,House,69000,2.0,66.0,,0.0,,,,1.0,24.0,66.0,,2.0,,
