,Unnamed: 0.1,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool,locality_code,price_square_meters
1713,1713,1713,6280 Loverval,House,109000,1.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,3.0, Good,0.0,6280,541.1125172572481
1714,1714,1714,6020 Dampremy,House,109000,3.0,133.0,Semi equipped,0.0,0.0,1.0,53.0,1.0,59.0,133.0,155.0,2.0, Good,0.0,6020,819.5488721804511
1715,1715,1715,6030 Marchienne-au-Pont,House,109000,3.0,200.0,Installed,0.0,0.0,1.0,15.0,0.0,,200.0,100.0,2.0, Good,0.0,6030,545.0
1716,1716,1716,6240 Farciennes,House,109000,2.0,200.0,Installed,0.0,0.0,1.0,4.0,0.0,,200.0,20.0,3.0, Good,0.0,6240,545.0
1717,1717,1717,8900 Ieper,Apartment,109000,1.0,201.43684820393972,Semi equipped,0.0,0.0,1.0,4.0,0.0,,201.43684820393972,201.43684820393972,4.0, Good,0.0,8900,541.1125172572481
1718,1718,1718,6061 Montignies-sur-Sambre,House,109000,3.0,201.43684820393972,Not installed,0.0,0.0,1.0,15.0,0.0,,201.43684820393972,261.0,2.0, To renovate,0.0,6061,541.1125172572481
1719,1719,1719,7500 ERE,House,109000,2.0,90.0,Semi equipped,0.0,0.0,0.0,,0.0,,90.0,90.0,3.0, Good,0.0,7500,1211.111111111111
1720,1720,1720,4800 Ensival,House,109000,5.0,203.0,Not installed,0.0,0.0,1.0,16.0,0.0,,203.0,203.0,2.0, To renovate,0.0,4800,536.9458128078818
1721,1721,1721,6790 Aubange,House,109000,3.0,203.0,Installed,0.0,0.0,0.0,,0.0,,203.0,203.0,2.0,Good,0.0,6790,536.9458128078818
1722,1722,1722,6040 Charleroi Jumet,House,109000,2.0,85.0,Semi equipped,0.0,0.0,0.0,,0.0,,85.0,85.0,3.0, To be done up,0.0,6040,1282.3529411764705
1723,1723,1723,8560 Moorsele,House,109000,2.0,201.43684820393972,Semi equipped,0.0,0.0,0.0,,0.0,,201.43684820393972,96.0,2.0, To renovate,0.0,8560,541.1125172572481
1724,1724,1724,4102 Seraing Ougre,House,109000,1.0,66.0,Installed,0.0,0.0,0.0,,0.0,,66.0,66.0,3.0, To renovate,0.0,4102,1651.5151515151515
1725,1725,1725,4420 Saint-Nicolas,Apartment,109000,3.0,91.0,Installed,0.0,0.0,0.0,,0.0,,91.0,91.0,3.0, To be done up,0.0,4420,1197.8021978021977
1726,1726,1726,4100 Seraing,House,109000,4.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, To be done up,0.0,4100,541.1125172572481
1727,1727,1727,1050 Ixelles,Studio,109000,2.0,20.0,Installed,0.0,0.0,0.0,,0.0,,20.0,20.0,1.0,Good,0.0,1050,5450.0
1728,1728,1728,4800 Verviers,House,109000,6.0,180.0,Installed,0.0,0.0,1.0,15.0,0.0,,180.0,115.0,2.0, To be done up,0.0,4800,605.5555555555555
1729,1729,1729,8670 Koksijde,Apartment,109000,1.0,42.0,Installed,0.0,0.0,0.0,,0.0,,42.0,42.0,2.0, To be done up,0.0,8670,2595.2380952380954
1730,1730,1730,4800 Verviers,House,109000,2.0,93.0,Not installed,0.0,0.0,0.0,,0.0,,93.0,93.0,2.0, Good,0.0,4800,1172.0430107526881
1731,1731,1731,4800 Verviers,Mixed-use building,109000,2.0,93.0,Not installed,0.0,0.0,0.0,,0.0,,93.0,93.0,2.0, Good,0.0,4800,1172.0430107526881
1732,1732,1732,4800 Verviers,Duplex,109000,2.0,88.0,Semi equipped,0.0,0.0,0.0,,0.0,,88.0,88.0,2.0, To be done up,0.0,4800,1238.6363636363637
1733,1733,1733,4101 Seraing Jemeppe-sur-Meuse,House,109000,2.0,93.0,USA semi equipped,0.0,0.0,0.0,,0.0,,93.0,60.0,2.0, To be done up,0.0,4101,1172.0430107526881
1734,1734,1734,8800 Roeselare,House,109000,2.0,108.0,Semi equipped,0.0,0.0,0.0,,0.0,,108.0,108.0,2.0, To renovate,0.0,8800,1009.2592592592592
1735,1735,1735,7134 Ressaix,Apartment,109000,2.0,57.0,Semi equipped,0.0,0.0,0.0,,0.0,,57.0,57.0,2.0, Just renovated,0.0,7134,1912.280701754386
1736,1736,1736,8940 Wervik,House,109000,3.0,120.0,Installed,0.0,0.0,0.0,,0.0,,120.0,515.0,2.0,Good,0.0,8940,908.3333333333334
1737,1737,1737,4100 Seraing,House,109000,3.0,135.0,Not installed,0.0,0.0,0.0,,0.0,,135.0,65.0,2.0, To be done up,0.0,4100,807.4074074074074
1738,1738,1738,4430 Ans,House,109000,3.0,120.0,Installed,0.0,0.0,0.0,,1.0,20.0,120.0,60.0,2.0,Good,0.0,4430,908.3333333333334
1739,1739,1739,7333 Tertre,House,109000,2.0,201.43684820393972,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393972,195.0,2.0, To renovate,0.0,7333,541.1125172572481
1740,1740,1740,7700 Mouscron,House,109000,2.0,109.0,Semi equipped,0.0,0.0,0.0,,1.0,120.0,109.0,200.0,2.0, To renovate,0.0,7700,1000.0
1741,1741,1741,7600 PRUWELZ,House,109000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,440.0,2.0, To restore,0.0,7600,541.1125172572481
1742,1742,1742,7603 Bon-Secours,House,109000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,94.0,3.0, Good,0.0,7603,541.1125172572481
1743,1743,1743,5660 Couvin,House,109000,2.0,114.0,Installed,0.0,0.0,0.0,,0.0,,114.0,114.0,2.0,Good,0.0,5660,956.140350877193
1744,1744,1744,2018 Antwerp,Studio,109000,2.0,34.0,Installed,0.0,0.0,0.0,,0.0,,34.0,34.0,2.0,Good,0.0,2018,3205.8823529411766
1745,1745,1745,5170 Profondeville,Apartment,109000,2.0,201.43684820393972,Semi equipped,0.0,0.0,0.0,,1.0,50.0,201.43684820393972,201.43684820393972,2.0, Good,0.0,5170,541.1125172572481
1746,1746,1746,8800 Roeselare,Apartment,109000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,8800,541.1125172572481
1747,1747,1747,4100 Seraing,Mixed-use building,109000,2.0,254.0,Installed,0.0,0.0,0.0,,0.0,,254.0,254.0,2.0, To renovate,0.0,4100,429.13385826771656
1748,1748,1748,6000 Charleroi,Apartment,109000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, Good,0.0,6000,541.1125172572481
1749,1749,1749,1020 Bruxelles 2,Studio,109000,1.0,40.0,Installed,0.0,0.0,0.0,,0.0,,40.0,40.0,3.0,Good,0.0,1020,2725.0
1750,1750,1750,8400 Oostende,Apartment,109500,1.0,60.0,Semi equipped,0.0,0.0,1.0,1.0,0.0,,60.0,60.0,2.0, Good,0.0,8400,1825.0
1751,1751,1751,9500 Geraardsbergen,House,109500,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,148.0,3.0, To renovate,0.0,9500,543.5946847676024
1752,1752,1752,4020 Lige 2,House,109500,3.0,105.0,Semi equipped,0.0,0.0,0.0,,0.0,,105.0,105.0,2.0,Good,0.0,4020,1042.857142857143
1753,1753,1753,4000 Lige,House,109500,3.0,112.0,Installed,0.0,0.0,0.0,,0.0,,112.0,112.0,2.0, To renovate,0.0,4000,977.6785714285714
1754,1754,1754,8620 Nieuwpoort,Studio,109500,2.0,26.0,Installed,1.0,0.0,0.0,,0.0,,26.0,26.0,2.0, As new,0.0,8620,4211.538461538462
1755,1755,1755,9220 Hamme,House,109500,1.0,90.0,Installed,0.0,0.0,0.0,,1.0,36.0,90.0,89.0,3.0, To renovate,0.0,9220,1216.6666666666667
1756,1756,1756,6230 Pont-a-Celles,Town-house,109900,2.0,86.0,Installed,0.0,0.0,0.0,,0.0,,86.0,80.0,2.0, To be done up,0.0,6230,1277.906976744186
1757,1757,1757,7301 Hornu,House,109900,2.0,80.0,Installed,0.0,0.0,1.0,15.0,1.0,80.0,80.0,122.0,2.0, Good,0.0,7301,1373.75
1758,1758,1758,7340 WASMES,House,109900,2.0,88.0,Installed,0.0,0.0,0.0,,0.0,,88.0,114.0,2.0, Good,0.0,7340,1248.8636363636363
1759,1759,1759,6800 Libramont-Chevigny,Apartment,109900,1.0,42.0,Installed,0.0,0.0,0.0,,0.0,,42.0,42.0,2.0, To be done up,0.0,6800,2616.6666666666665
1760,1760,1760,6800 Libramont-Chevigny,Apartment,109900,1.0,45.0,Installed,0.0,0.0,1.0,17.0,0.0,,45.0,45.0,2.0, To be done up,0.0,6800,2442.222222222222
1761,1761,1761,6200 Chtelet,House,109900,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,3.0, To renovate,0.0,6200,545.580418775886
1762,1762,1762,4100 Seraing,Studio,109900,1.0,37.0,Installed,0.0,0.0,0.0,,0.0,,37.0,37.0,4.0, To be done up,0.0,4100,2970.2702702702704
1763,1763,1763,2450 Meerhout,Apartment,109900,1.0,41.0,Installed,0.0,0.0,0.0,,0.0,,41.0,41.0,2.0, Good,0.0,2450,2680.487804878049
1764,1764,1764,6224 WANFERCEE-BAULET,House,109999,3.0,90.0,Installed,1.0,0.0,0.0,,0.0,,90.0,100.0,2.0, Good,0.0,6224,1222.2111111111112
1765,1765,1765,6001 Marcinelle,Apartment,110000,2.0,75.0,Semi equipped,0.0,0.0,1.0,3.0,0.0,,75.0,75.0,4.0, Just renovated,0.0,6001,1466.6666666666667
1766,1766,1766,4020 WANDRE,House,110000,2.0,90.0,Semi equipped,0.0,0.0,1.0,60.0,1.0,200.0,90.0,360.0,2.0, To be done up,0.0,4020,1222.2222222222222
1767,1767,1767,5300 Andenne,Apartment,110000,2.0,103.0,Semi equipped,0.0,0.0,0.0,,0.0,,103.0,103.0,2.0, Good,0.0,5300,1067.9611650485438
1768,1768,1768,4030 Lige Grivegne,House,110000,2.0,95.0,Not installed,0.0,0.0,1.0,17.0,0.0,,95.0,114.0,3.0, To renovate,0.0,4030,1157.8947368421052
1769,1769,1769,8430 Middelkerke,Studio,110000,2.0,42.0,Installed,1.0,0.0,0.0,,0.0,,42.0,42.0,2.0, To renovate,0.0,8430,2619.0476190476193
1770,1770,1770,8430 Middelkerke,Studio,110000,2.0,22.0,Installed,1.0,0.0,0.0,,0.0,,22.0,22.0,2.0, Good,0.0,8430,5000.0
1771,1771,1771,6001 Marcinelle,House,110000,2.0,130.0,Semi equipped,0.0,0.0,0.0,,1.0,100.0,130.0,150.0,2.0, Good,0.0,6001,846.1538461538462
1772,1772,1772,7700 Mouscron,House,110000,3.0,104.0,Semi equipped,0.0,0.0,0.0,,1.0,50.0,104.0,133.0,2.0, To renovate,0.0,7700,1057.6923076923076
1773,1773,1773,2100 Antwerp,Apartment,110000,2.0,80.0,Installed,0.0,0.0,0.0,,0.0,,80.0,80.0,2.0, To be done up,0.0,2100,1375.0
1774,1774,1774,8580 Avelgem,House,110000,2.0,75.0,Installed,0.0,0.0,0.0,,0.0,,75.0,185.0,2.0, To renovate,0.0,8580,1466.6666666666667
1775,1775,1775,7822 Ghislenghien,House,110000,3.0,156.0,Not installed,0.0,0.0,0.0,,1.0,400.0,156.0,400.0,3.0, To renovate,0.0,7822,705.1282051282051
1776,1776,1776,7320 Bernissart,Apartment,110000,1.0,201.43684820393972,Hyper equipped,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, As new,0.0,7320,546.0768522779568
1777,1777,1777,7340 Colfontaine,House,110000,3.0,130.0,Semi equipped,0.0,0.0,0.0,,0.0,,130.0,350.0,3.0, Good,0.0,7340,846.1538461538462
1778,1778,1778,3680 Maaseik,Apartment,110000,3.0,131.0,Installed,0.0,0.0,1.0,8.0,0.0,,131.0,131.0,2.0, To renovate,0.0,3680,839.6946564885496
1779,1779,1779,7134 PRONNES-LEZ-BINCHE,Apartment,110000,2.0,62.0,Semi equipped,0.0,0.0,0.0,,0.0,,62.0,62.0,2.0, Good,0.0,7134,1774.1935483870968
1780,1780,1780,8500 Kortrijk,Duplex,110000,2.0,104.0,Installed,0.0,0.0,0.0,,0.0,,104.0,104.0,2.0,Good,0.0,8500,1057.6923076923076
1781,1781,1781,8800 Roeselare,Apartment,110000,2.0,85.0,Installed,0.0,0.0,0.0,,0.0,,85.0,85.0,2.0, To renovate,0.0,8800,1294.1176470588234
1782,1782,1782,4102 Seraing,House,110000,4.0,110.0,Not installed,0.0,0.0,0.0,,0.0,,110.0,102.0,2.0, To be done up,0.0,4102,1000.0
1783,1783,1783,9600 Ronse,House,110000,2.0,110.0,Installed,0.0,0.0,0.0,,0.0,,110.0,50.0,2.0, Good,0.0,9600,1000.0
1784,1784,1784,7040 Asquillies,House,110000,4.0,167.0,Installed,0.0,0.0,0.0,,0.0,,167.0,711.0,4.0, To renovate,0.0,7040,658.6826347305389
1785,1785,1785,6900 Marche-en-Famenne,House,110000,4.0,220.0,Not installed,0.0,0.0,0.0,,0.0,,220.0,110.0,3.0, Good,0.0,6900,500.0
1786,1786,1786,7033 Cuesmes,House,110000,2.0,140.0,Installed,0.0,0.0,0.0,,0.0,,140.0,173.0,2.0,Good,0.0,7033,785.7142857142857
1787,1787,1787,2000 Antwerp,Apartment,110000,1.0,80.0,Installed,0.0,0.0,0.0,,0.0,,80.0,80.0,2.0,Good,0.0,2000,1375.0
1788,1788,1788,7321 Blaton,House,110000,5.0,252.0,Semi equipped,0.0,0.0,0.0,,1.0,386.0,252.0,638.0,2.0, To renovate,0.0,7321,436.5079365079365
1789,1789,1789,7340 Wasmes,House,110000,1.0,116.0,Installed,0.0,0.0,0.0,,0.0,,116.0,242.0,2.0,Good,0.0,7340,948.2758620689655
1790,1790,1790,9200 Dendermonde,House,110000,3.0,86.0,Installed,0.0,0.0,0.0,,0.0,,86.0,130.0,2.0, To renovate,0.0,9200,1279.0697674418604
1791,1791,1791,9200 Dendermonde,House,110000,3.0,85.0,Installed,0.0,0.0,0.0,,0.0,,85.0,254.0,3.0, To renovate,0.0,9200,1294.1176470588234
1792,1792,1792,6060 Charleroi Gilly,Duplex,110000,3.0,165.0,USA installed,0.0,0.0,0.0,,0.0,,165.0,165.0,2.0, Good,0.0,6060,666.6666666666666
1793,1793,1793,2830 Willebroek,House,110000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,141.0,2.0, To renovate,0.0,2830,546.0768522779568
1794,1794,1794,7340 Paturages,House,110000,2.0,107.0,Installed,0.0,0.0,0.0,,0.0,,107.0,214.0,3.0,Good,0.0,7340,1028.03738317757
1795,1795,1795,9250 Waasmunster,House,110000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,269.0,2.0, To renovate,0.0,9250,546.0768522779568
1796,1796,1796,6820 Fontenoille,Mixed-use building,110000,3.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0, To renovate,0.0,6820,546.0768522779568
1797,1797,1797,2870 Puurs-Sint-Amands,House,110000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,360.0,2.0, To renovate,0.0,2870,546.0768522779568
1798,1798,1798,4032 LIEGE chne,Apartment block,110000,1.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,60.0,2.0,Good,0.0,4032,1833.3333333333333
1799,1799,1799,6041 Charleroi Gosselies,House,110000,2.0,140.0,Not installed,0.0,0.0,0.0,,1.0,200.0,140.0,290.0,2.0, To be done up,0.0,6041,785.7142857142857
1800,1800,1800,9000 Gent,House,110000,3.0,95.0,Installed,0.0,0.0,0.0,,0.0,,95.0,41.0,2.0, To renovate,0.0,9000,1157.8947368421052
1801,1801,1801,1090 Jette,Apartment,110000,2.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,1090,546.0768522779568
1802,1802,1802,6001 Marcinelle,Apartment,110000,3.0,113.0,Installed,0.0,0.0,0.0,,0.0,,113.0,113.0,2.0, Good,0.0,6001,973.4513274336283
1803,1803,1803,7100 La Louvire,Apartment,110000,3.0,176.0,Installed,0.0,0.0,0.0,,0.0,,176.0,176.0,2.0,Good,0.0,7100,625.0
1804,1804,1804,7000 Mons,House,110000,2.0,156.0,Installed,0.0,0.0,0.0,,0.0,,156.0,156.0,3.0,Good,0.0,7000,705.1282051282051
1805,1805,1805,7080 Sars-la-Bruyre,House,110000,5.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,343.0,2.0, To renovate,0.0,7080,546.0768522779568
1806,1806,1806,3600 Genk,House,110000,3.0,130.0,Installed,0.0,0.0,0.0,,0.0,,130.0,445.0,3.0,Good,0.0,3600,846.1538461538462
1807,1807,1807,7971 BASECLES,House,110000,1.0,75.0,Not installed,1.0,0.0,0.0,,0.0,,75.0,132.0,2.0,Good,0.0,7971,1466.6666666666667
1808,1808,1808,1070 Anderlecht,Apartment,110000,1.0,201.43684820393972,Installed,0.0,0.0,0.0,,0.0,,201.43684820393972,201.43684820393972,2.0,Good,0.0,1070,546.0768522779568
1809,1809,1809,3910 Pelt,Ground floor,110000,3.0,95.0,Installed,0.0,0.0,0.0,,0.0,,95.0,95.0,3.0,Good,0.0,3910,1157.8947368421052
