,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
3460,1150 Woluwe-Saint-Pierre,Apartment block,2685000,10.0,648.0,Installed,,,1.0,54.0,,,648.0,400.0,3.0, As new,
3461,2500 KONINGSHOOIKT,Villa,2675000,8.0,800.0,Hyper equipped,0.0,,,,1.0,2200.0,800.0,,4.0,,
3462,2500 Lier,Villa,2675000,8.0,800.0,,0.0,,,,1.0,4500.0,800.0,4500.0,,,
3463,2500 Lier Koningshooikt,Exceptional property,2675000,8.0,800.0,Hyper equipped,,,,,1.0,2500.0,800.0,4500.0,4.0, As new,
3464,1050 Ixelles,House,2650000,6.0,530.0,Installed,0.0,,1.0,1.0,,,530.0,,2.0, As new,
3465,8500 Kortrijk,House,2650000,10.0,,USA semi equipped,0.0,,,,1.0,7254.0,,7254.0,4.0, Good,
3466,1050 Ixelles,Exceptional property,2650000,5.0,530.0,Hyper equipped,0.0,,,,,,530.0,,3.0, Good,
3467,1050 Elsene,Mansion,2650000,9.0,,Installed,,,,,1.0,50.0,,290.0,3.0, Good,
3468,1040 Brussel,Apartment block,2650000,7.0,570.0,Hyper equipped,1.0,,1.0,36.0,1.0,156.0,570.0,325.0,2.0, As new,
3469,8500 Kortrijk,Kot,2650000,,1295.0,,1.0,,,,,,1295.0,,3.0, Good,
3470,8501 Bissegem,Mixed-use building,2650000,,,Installed,,,,,,,,1168.0,, As new,
3471,2950 Kapellen,Villa,2650000,5.0,1000.0,USA hyper equipped,,,,,,,1000.0,9665.0,4.0,,
3472,1050 Ixelles,Apartment block,2625000,5.0,555.0,Installed,0.0,,,,1.0,117.0,555.0,565.0,2.0, To be done up,
3473,8300 Knokke-Heist,Duplex,2617000,3.0,157.0,USA hyper equipped,0.0,,1.0,23.0,,,157.0,,, As new,
3474,8300 Knokke,Apartment,2617000,3.0,157.0,,0.0,,,,,,157.0,,, As new,
3475,1180 Uccle,Villa,2600000,6.0,430.0,Installed,,,,,,,430.0,1425.0,4.0, Good,
3476,1640 Rhode-Saint-Gense,House,2600000,5.0,900.0,Hyper equipped,0.0,,,,1.0,4100.0,900.0,5000.0,4.0, To renovate,
3477,1180 Uccle,Villa,2600000,4.0,331.0,,0.0,,,,,,331.0,1425.0,, Good,
3478,1180 Uccle,Villa,2600000,5.0,400.0,Hyper equipped,0.0,,1.0,60.0,1.0,700.0,400.0,1425.0,4.0,,
3479,2018 Antwerp,Mansion,2600000,5.0,750.0,Semi equipped,0.0,,1.0,25.0,1.0,160.0,750.0,430.0,2.0, Good,
3480,9000 Gent,Mansion,2600000,5.0,621.0,USA hyper equipped,0.0,,,,1.0,1273.0,621.0,1438.0,2.0, As new,
3481,1640 Rhode-St-Gense,Exceptional property,2600000,6.0,900.0,Hyper equipped,0.0,,,,,,900.0,4970.0,4.0, As new,
3482,1380 Lasne,Villa,2600000,8.0,1163.0,Installed,0.0,,,,,,1163.0,12900.0,4.0,,
3483,8301 Knokke-Heist,Apartment,2595000,4.0,174.0,Hyper equipped,0.0,,,,,,174.0,,2.0, As new,
3484,8300 Knokke-Heist,Duplex,2595000,4.0,174.0,USA hyper equipped,1.0,,,,,,174.0,,, As new,
3485,8300 Knokke,Apartment,2595000,4.0,,,1.0,,,,,,,,,,
3486,8301 Knokke-Heist,Duplex,2595000,4.0,174.0,Hyper equipped,1.0,,,,,,174.0,,, As new,
3487,8587 Spiere-Helkijn,Castle,2550000,5.0,800.0,,,,,,,,800.0,21000.0,,,
3488,4432 Ans Alleur,Mixed-use building,2550000,,2520.0,,,,,,,,2520.0,,4.0,,
3489,9830 Sint-Martens-Latem,Villa,2540000,3.0,354.0,Installed,0.0,,,,,,354.0,5576.0,4.0, As new,
3490,1050 Bruxelles-Quartier Louise,Mixed-use building,2520000,,750.0,,1.0,,1.0,24.0,1.0,39.0,750.0,193.0,2.0, As new,
3491,1050 Ixelles,Penthouse,2500000,4.0,277.0,Hyper equipped,0.0,,1.0,111.0,,,277.0,,4.0, As new,
3492,1050 Ixelles,Penthouse,2500000,4.0,277.0,USA hyper equipped,0.0,,1.0,111.0,,,277.0,,2.0, As new,
3493,1050 Ixelles,Apartment,2500000,4.0,277.0,USA hyper equipped,0.0,,1.0,87.0,,,277.0,,4.0, Just renovated,
3494,1050 Ixelles,Queen 1839,193500,,,,,,,,,,,,,,
3495,1050 Ixelles,Penthouses Ixelles - Loui,1100000,,,,,,,,,,,,,,
3496,1050 Ixelles,House,2500000,10.0,,,0.0,,1.0,10.0,,,,386.0,2.0, As new,
3497,1050 Ixelles,Apartment,2500000,4.0,277.0,USA hyper equipped,,,1.0,111.0,,,277.0,,, As new,
3498,2018 Antwerp,Penthouse,2500000,3.0,400.0,Hyper equipped,,,1.0,10.0,,,400.0,,, As new,
3499,1050 Ixelles,Apartment,2500000,4.0,227.0,Installed,,,1.0,87.0,,,227.0,,4.0, As new,
3500,1640 Rhode-Saint-Gense,House,2500000,5.0,400.0,Hyper equipped,,,1.0,20.0,1.0,1700.0,400.0,2590.0,4.0, As new,
3501,1050 Ixelles,Mixed-use building,2500000,,550.0,Semi equipped,0.0,,1.0,20.0,1.0,50.0,550.0,512.0,2.0, Good,
3502,1640 Rhode-Saint-Gense,House,2500000,5.0,400.0,Hyper equipped,,,1.0,30.0,1.0,2290.0,400.0,2490.0,4.0, As new,
3503,2000 Antwerpen,Mansion,2500000,5.0,,Hyper equipped,0.0,,1.0,29.0,1.0,159.0,,308.0,2.0, As new,
3504,1150 Woluwe-Saint-Pierre,Villa,2500000,8.0,,USA installed,,,,,,,,1700.0,4.0, As new,
3505,1050 Ixelles,Apartment,2500000,4.0,277.0,Hyper equipped,,,,,,,277.0,,2.0, As new,
3506,1310 La Hulpe,Villa,2500000,8.0,1241.0,Hyper equipped,0.0,,,,,,1241.0,3089.0,4.0,,
3507,7700 Mouscron,Apartment block,2500000,1.0,,Not installed,0.0,,,,,,,,, Just renovated,
3508,2000 Antwerp,Mansion,2500000,5.0,624.0,Installed,0.0,,,,,,624.0,308.0,2.0, Just renovated,
3509,1370 Mlin,Exceptional property,2500000,5.0,465.0,Hyper equipped,0.0,,,,,,465.0,10095.0,4.0, As new,
3510,2360 Oud-Turnhout,House,2500000,5.0,621.0,,0.0,,,,,,621.0,13000.0,4.0, Good,
3511,2000 Antwerp,House,2500000,5.0,800.0,Installed,0.0,,,,1.0,212.0,800.0,515.0,2.0, Good,
3512,2950 Kapellen,Villa,2500000,5.0,750.0,,0.0,,1.0,275.0,,,750.0,5123.0,4.0,,
3513,3000 Leuven,Mixed-use building,2500000,8.0,,,,,,,,,,196.0,2.0,,
3514,1040 Etterbeek,Mixed-use building,2500000,,,,,,,,,,,504.0,2.0, As new,
3515,8300 Knokke-Heist,Wagram,2299000,,,,,,,,,,,,,,
3516,8301 Duinbergen,Wagram,2299000,,,,,,,,,,,,,,
3517,8300 Knokke-Heist,Apartment,2499000,3.0,162.0,Installed,,,,,,,162.0,,,,
3518,9500 Geraardsbergen,Villa,2499000,6.0,600.0,Installed,0.0,,,,,,600.0,50000.0,, As new,
3519,8300 Knokke-Heist,Apartment,2499000,3.0,162.0,,,,,,,,162.0,,,,
3520,1200 WOLUWE-SAINT-LAMBERT,Mansion,2495000,6.0,,Hyper equipped,,,1.0,48.0,,,,561.0,2.0, As new,
3521,1180 Uccle,Villa,2495000,5.0,425.0,Hyper equipped,0.0,,1.0,64.0,1.0,1667.0,425.0,1667.0,4.0, As new,
3522,1200 Woluwe-Saint-Lambert,House,2495000,7.0,460.0,Hyper equipped,0.0,,1.0,48.0,1.0,390.0,460.0,564.0,2.0, Just renovated,
3523,1180 Uccle,Exceptional property,2495000,4.0,,,,,1.0,95.0,,,,1049.0,,,
3524,2970 Schilde,Villa,2495000,5.0,800.0,,0.0,,,,1.0,6500.0,800.0,6629.0,,,
3525,2970 Schilde,Villa,2495000,5.0,800.0,USA hyper equipped,0.0,,,,,,800.0,6629.0,4.0, As new,
3526,2360 Oud-Turnhout,Villa,2495000,6.0,687.0,USA hyper equipped,,,1.0,50.0,1.0,2905.0,687.0,2905.0,4.0, As new,
3527,1180 Uccle,Ground floor,2490000,3.0,300.0,USA hyper equipped,0.0,,1.0,56.0,1.0,860.0,300.0,,4.0, Just renovated,
3528,1420 Braine-lAlleud,Villa,2490000,7.0,650.0,,,,,,,,650.0,11472.0,4.0, As new,
3529,3080 Tervuren,Villa,2490000,5.0,645.0,Installed,,,1.0,25.0,,,645.0,1800.0,4.0, As new,
3530,3080 Tervuren,House,2490000,5.0,480.0,Hyper equipped,0.0,,1.0,25.0,,,480.0,1792.0,4.0,,
3531,1850 Grimbergen,Castle,2480000,10.0,850.0,Installed,,,,,1.0,950002.0,850.0,95000.0,4.0, To be done up,
3532,1850 Grimbergen,Exceptional property,2480000,10.0,880.0,,,,,,,,880.0,95000.0,,,
3533,3080 Tervuren,Villa,2475000,7.0,720.0,,0.0,,,,,,720.0,5800.0,4.0,,
3534,9890 Gavere,House,2475000,5.0,759.0,Hyper equipped,0.0,,1.0,28.0,1.0,1800.0,759.0,3348.0,4.0, As new,
3535,2930 Brasschaat,Villa,2475000,5.0,1200.0,,0.0,,,,,,1200.0,8444.0,4.0, As new,
3536,8300 Knokke-Heist,Penthouse,2470000,2.0,111.0,USA hyper equipped,0.0,,1.0,90.0,,,111.0,,2.0, Good,
3537,8300 Knokke-Heist,Penthouse,2470000,2.0,111.0,Installed,,,1.0,90.0,,,111.0,,, Good,
3538,8300 Knokke-Zoute,Apartment,2470000,2.0,111.0,Hyper equipped,,,,,,,111.0,,3.0, As new,
3539,8300 Knokke-Heist,Penthouse,2470000,2.0,111.0,,0.0,,,,,,111.0,,2.0, As new,
3540,2018 Antwerp,House,2450000,6.0,446.0,USA hyper equipped,1.0,,,,1.0,266.0,446.0,266.0,3.0, As new,
