,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
62,62,6040 Jumet,House,49000,2.0,85.0,Not installed,0.0,0.0,0.0,,0.0,,85.0,78.0,2.0, To renovate,0.0
63,63,7600 Peruwelz,House,49000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,1.0,500.0,201.43684820393975,570.0,2.0, To restore,0.0
64,64,4051 Vaux-sous-Chvremont,House,49000,2.0,201.43684820393975,Not installed,0.0,0.0,1.0,8.0,0.0,,201.43684820393975,86.0,3.0, To restore,0.0
65,65,4032 Chne,House,49000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,35.0,3.0, To restore,0.0
66,66,7390 Quaregnon,House,49000,3.0,12.0,Installed,0.0,0.0,0.0,,0.0,,12.0,60.0,2.0, To be done up,0.0
67,67,6060 Charleroi Gilly,House,49000,2.0,65.0,Installed,0.0,0.0,0.0,,0.0,,65.0,700.0,4.0, To restore,0.0
68,68,4190 Ferrires,Chalet,49000,1.0,79.0,Not installed,0.0,0.0,0.0,,0.0,,79.0,253.0,4.0, To renovate,0.0
69,69,8370 Blankenberge,Studio,49000,2.0,34.0,Installed,0.0,0.0,0.0,,0.0,,34.0,34.0,2.0,Good,0.0
70,70,5670 OIGNIES-EN-THIRACHE,House,49000,2.0,42.0,Semi equipped,0.0,0.0,0.0,,1.0,998.0,42.0,1004.0,4.0, To renovate,0.0
71,71,7340 WASMES,House,49000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,1.0,270.0,201.43684820393975,270.0,2.0,Good,0.0
72,72,6590 Momignies,House,49000,1.0,75.0,Not installed,0.0,0.0,0.0,,0.0,,75.0,75.0,3.0,Good,0.0
73,73,6040 Jumet,Apartment,49000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
74,74,8370 Blankenberge,Maple Leaf,49500,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
75,75,7110 Maurage,House,49500,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, Just renovated,0.0
76,76,6200 Chtelet,Apartment,49500,1.0,48.0,Installed,0.0,0.0,0.0,,0.0,,48.0,48.0,2.0,Good,0.0
77,77,4400 FLMALLE-GRANDE,House,49500,2.0,116.0,Installed,0.0,0.0,1.0,16.0,0.0,,116.0,147.0,2.0, To renovate,0.0
78,78,6000 Charleroi,Studio,49999,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, Good,0.0
79,79,5540 Hastire-Lavaux,Country house,50000,2.0,76.0,Semi equipped,0.0,0.0,0.0,,1.0,500.0,76.0,500.0,2.0, To renovate,0.0
80,80,4340 Awans,House,50000,2.0,82.0,Installed,0.0,0.0,0.0,,0.0,,82.0,221.0,2.0, To renovate,0.0
81,81,4030 Grivegne,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,1.0,90.0,201.43684820393975,174.0,2.0, To renovate,0.0
82,82,7340 Paturages,House,50000,2.0,136.0,Installed,0.0,0.0,0.0,,0.0,,136.0,320.0,3.0, To renovate,0.0
